Algorithm,Size,Time(seconds)
strand,5900,0.002363
intro,5900,0.000266
bubble,6000,0.056796
selection,6000,0.044646
insertion,6000,0.007097
shell,6000,0.000730
heap,6000,0.000639
merge,6000,0.000718
quick,6000,0.000405
comb,6000,0.000563
cocktail,6000,0.069703
cycle,6000,0.028539
gnome,6000,0.059215
tim,6000,0.000370
counting,6000,0.000036
radix,6000,0.000122
bucket,6000,0.000525
pigeonhole,6000,0.000060
bitonic,6000,0.001118
stooge,6000,27.624270
oddeven,6000,0.014666
strand,6000,0.002249
intro,6000,0.000281
bubble,6100,0.062052
selection,6100,0.038848
insertion,6100,0.003686
shell,6100,0.000488
heap,6100,0.000408
merge,6100,0.000510
quick,6100,0.000305
comb,6100,0.000413
cocktail,6100,0.067528
cycle,6100,0.026610
gnome,6100,0.058767
